book_name,book_price,book_rating
"Jeetne Ka Nazariya",149,4.4
"The Secret Principles of Genius - How to Survive and Th...",234,4.7
"Naked Statistics",968,4.5
"Principles of Marketing 15 Edition",629,4.3
"Running with the Dragon",441,4.8
"The Quick and Easy Way to Effective Speaking - Modern T...",175,3.2
"Information Systems",929,4.7
"Multipliers, Revised and Updated - How the Best Leaders...",365,4.5
"IIMA Why I Am Paying More",360,4.4
"Bank Marketing in the Changing Landscape of Retail Bank...",250,4.3
Trailblazer,441,5
"The Economy Compendium for IAS Prelims General Studies ...",180,4.2
"Macroeconomics : Theory and Policy",459,4.2
"The Two-Minute Revolution",260,4.7
"Take Me Home - The Inspiring Stories of 20 Entrepreneur...",184,4.3
"The Formula",599,5
"India's Political Economy",899,3.8
"Services Marketing",589,5
"Human Resource Management",689,4.4
"Strategic Management 4th  Edition",516,4.2
"Digital Marketing",619,4.5
"My NDTV Days",236,3.8
"Lean Thinking Banish Waste and Create Wealth in Your Co...",495,4.4
Healer,810,3.8
"Stories At Work",263,4.7
"11 Principles to Achieve Financial Freedom: Master Your...",449,4.4
"New Venture Creation",749,5
"Ibps Bank Clerk Pre Exam 30 Practice Sets",207,4.6
"Introduction to Accountancy",448,4.3
"Wiley's State Bank of India Probationary Officers (Sbi ...",415,4
"Exploring Strategy Tenth Edition",540,4.2
"Success Master Ibps Cwe-VIII Bank Po (Po/Mt) Preliminar...",285,4.5
